# R_0, Probability of epidemic
0.00, 0.000e+00
0.01, 9.950e-09
0.02, 3.168e-09
0.03, 2.393e-08
0.04, 4.012e-09
0.05, 1.522e-08
0.06, 4.520e-08
0.07, 7.934e-09
0.08, 2.009e-08
0.09, 4.555e-08
0.10, 9.466e-08
0.11, 2.017e-08
0.12, 4.021e-08
0.13, 7.580e-08
0.14, 1.363e-07
0.15, 3.526e-08
0.16, 6.262e-08
0.17, 1.073e-07
0.18, 1.783e-07
0.19, 5.472e-08
0.20, 9.074e-08
0.21, 1.467e-07
0.22, 2.319e-07
0.23, 8.257e-08
0.24, 1.308e-07
0.25, 2.034e-07
0.26, 3.106e-07
0.27, 1.260e-07
0.28, 1.933e-07
0.29, 2.920e-07
0.30, 1.304e-07
0.31, 1.980e-07
0.32, 2.964e-07
0.33, 4.381e-07
0.34, 2.175e-07
0.35, 3.232e-07
0.36, 4.748e-07
0.37, 2.552e-07
0.38, 3.768e-07
0.39, 5.505e-07
0.40, 3.185e-07
0.41, 4.675e-07
0.42, 6.797e-07
0.43, 4.210e-07
0.44, 6.150e-07
0.45, 4.006e-07
0.46, 5.876e-07
0.47, 8.544e-07
0.48, 5.913e-07
0.49, 8.632e-07
0.50, 6.249e-07
0.51, 9.156e-07
0.52, 6.919e-07
0.53, 1.017e-06
0.54, 8.008e-07
0.55, 1.180e-06
0.56, 9.668e-07
0.57, 8.142e-07
0.58, 1.215e-06
0.59, 1.062e-06
0.60, 9.520e-07
0.61, 1.436e-06
0.62, 1.333e-06
0.63, 1.268e-06
0.64, 1.235e-06
0.65, 1.232e-06
0.66, 1.905e-06
0.67, 1.958e-06
0.68, 2.058e-06
0.69, 2.210e-06
0.70, 1.697e-06
0.71, 1.927e-06
0.72, 2.233e-06
0.73, 2.637e-06
0.74, 2.350e-06
0.75, 2.920e-06
0.76, 2.809e-06
0.77, 2.821e-06
0.78, 2.957e-06
0.79, 3.231e-06
0.80, 3.677e-06
0.81, 3.527e-06
0.82, 4.394e-06
0.83, 4.717e-06
0.84, 4.519e-06
0.85, 5.532e-06
0.86, 5.303e-06
0.87, 6.469e-06
0.88, 6.595e-06
0.89, 7.575e-06
0.90, 8.792e-06
0.91, 9.664e-06
0.92, 1.069e-05
0.93, 1.262e-05
0.94, 1.487e-05
0.95, 1.861e-05
0.96, 2.321e-05
0.97, 3.182e-05
0.98, 4.818e-05
0.99, 9.768e-05
1.00, 1.413e-03
1.01, 1.983e-02
1.02, 3.901e-02
1.03, 5.771e-02
1.04, 7.595e-02
1.05, 9.372e-02
1.06, 1.110e-01
1.07, 1.279e-01
1.08, 1.444e-01
1.09, 1.605e-01
1.10, 1.761e-01
1.11, 1.914e-01
1.12, 2.064e-01
1.13, 2.209e-01
1.14, 2.351e-01
1.15, 2.490e-01
1.16, 2.626e-01
1.17, 2.758e-01
1.18, 2.887e-01
1.19, 3.014e-01
1.20, 3.137e-01
1.21, 3.258e-01
1.22, 3.376e-01
1.23, 3.491e-01
1.24, 3.604e-01
1.25, 3.714e-01
1.26, 3.822e-01
1.27, 3.927e-01
1.28, 4.030e-01
1.29, 4.131e-01
1.30, 4.230e-01
1.31, 4.326e-01
1.32, 4.421e-01
1.33, 4.514e-01
1.34, 4.604e-01
1.35, 4.693e-01
1.36, 4.780e-01
1.37, 4.865e-01
1.38, 4.948e-01
1.39, 5.030e-01
1.40, 5.110e-01
1.41, 5.189e-01
1.42, 5.265e-01
1.43, 5.341e-01
1.44, 5.415e-01
1.45, 5.487e-01
1.46, 5.558e-01
1.47, 5.627e-01
1.48, 5.696e-01
1.49, 5.763e-01
1.50, 5.828e-01
1.51, 5.892e-01
1.52, 5.956e-01
1.53, 6.018e-01
1.54, 6.078e-01
1.55, 6.138e-01
1.56, 6.196e-01
1.57, 6.254e-01
1.58, 6.310e-01
1.59, 6.366e-01
1.60, 6.420e-01
1.61, 6.473e-01
1.62, 6.525e-01
1.63, 6.577e-01
1.64, 6.627e-01
1.65, 6.677e-01
1.66, 6.726e-01
1.67, 6.773e-01
1.68, 6.820e-01
1.69, 6.867e-01
1.70, 6.912e-01
1.71, 6.956e-01
1.72, 7.000e-01
1.73, 7.043e-01
1.74, 7.085e-01
1.75, 7.127e-01
1.76, 7.168e-01
1.77, 7.208e-01
1.78, 7.247e-01
1.79, 7.286e-01
1.80, 7.324e-01
1.81, 7.362e-01
1.82, 7.399e-01
1.83, 7.435e-01
1.84, 7.471e-01
1.85, 7.506e-01
1.86, 7.540e-01
1.87, 7.574e-01
1.88, 7.607e-01
1.89, 7.640e-01
1.90, 7.672e-01
1.91, 7.704e-01
1.92, 7.735e-01
1.93, 7.766e-01
1.94, 7.796e-01
1.95, 7.826e-01
1.96, 7.856e-01
1.97, 7.884e-01
1.98, 7.913e-01
1.99, 7.941e-01
2.00, 7.968e-01
2.01, 7.995e-01
2.02, 8.022e-01
2.03, 8.048e-01
2.04, 8.074e-01
2.05, 8.099e-01
2.06, 8.124e-01
2.07, 8.149e-01
2.08, 8.173e-01
2.09, 8.197e-01
2.10, 8.221e-01
2.11, 8.244e-01
2.12, 8.267e-01
2.13, 8.289e-01
2.14, 8.311e-01
2.15, 8.333e-01
2.16, 8.355e-01
2.17, 8.376e-01
2.18, 8.397e-01
2.19, 8.417e-01
2.20, 8.437e-01
2.21, 8.457e-01
2.22, 8.477e-01
2.23, 8.496e-01
2.24, 8.515e-01
2.25, 8.534e-01
2.26, 8.553e-01
2.27, 8.571e-01
2.28, 8.589e-01
2.29, 8.607e-01
2.30, 8.624e-01
2.31, 8.641e-01
2.32, 8.658e-01
2.33, 8.675e-01
2.34, 8.692e-01
2.35, 8.708e-01
2.36, 8.724e-01
2.37, 8.740e-01
2.38, 8.755e-01
2.39, 8.771e-01
2.40, 8.786e-01
2.41, 8.801e-01
2.42, 8.816e-01
2.43, 8.830e-01
2.44, 8.845e-01
2.45, 8.859e-01
2.46, 8.873e-01
2.47, 8.886e-01
2.48, 8.900e-01
2.49, 8.913e-01
2.50, 8.926e-01
2.51, 8.939e-01
2.52, 8.952e-01
2.53, 8.965e-01
2.54, 8.977e-01
2.55, 8.990e-01
2.56, 9.002e-01
2.57, 9.014e-01
2.58, 9.026e-01
2.59, 9.037e-01
2.60, 9.049e-01
2.61, 9.060e-01
2.62, 9.071e-01
2.63, 9.083e-01
2.64, 9.093e-01
2.65, 9.104e-01
2.66, 9.115e-01
2.67, 9.125e-01
2.68, 9.136e-01
2.69, 9.146e-01
2.70, 9.156e-01
2.71, 9.166e-01
2.72, 9.176e-01
2.73, 9.185e-01
2.74, 9.195e-01
2.75, 9.204e-01
2.76, 9.214e-01
2.77, 9.223e-01
2.78, 9.232e-01
